# wavelength(nm) intensity(au)
6.731050000000000182e+02 8.338500000000000227e+02
6.733590000000000373e+02 7.398500000000000227e+02
6.736119999999999663e+02 7.378500000000000227e+02
6.738659999999999854e+02 7.418500000000000227e+02
6.741200000000000045e+02 7.368500000000000227e+02
6.743740000000000236e+02 7.588500000000000227e+02
6.746280000000000427e+02 7.728500000000000227e+02
6.748819999999999482e+02 7.148500000000000227e+02
6.751359999999999673e+02 7.188500000000000227e+02
6.753899999999999864e+02 6.628500000000000227e+02
6.756440000000000055e+02 5.868500000000000227e+02
6.758970000000000482e+02 5.738500000000000227e+02
6.761509999999999536e+02 5.718500000000000227e+02
6.764049999999999727e+02 5.078500000000000227e+02
6.766589999999999918e+02 5.008500000000000227e+02
6.769130000000000109e+02 5.278500000000000227e+02
6.771670000000000300e+02 4.958500000000000227e+02
6.774199999999999591e+02 4.808500000000000227e+02
6.776739999999999782e+02 4.528500000000000227e+02
6.779279999999999973e+02 4.408500000000000227e+02
6.781820000000000164e+02 4.408500000000000227e+02
6.784349999999999454e+02 4.818500000000000227e+02
6.786889999999999645e+02 4.648500000000000227e+02
6.789429999999999836e+02 4.358500000000000227e+02
6.791970000000000027e+02 4.248500000000000227e+02
6.794500000000000455e+02 3.788500000000000227e+02
6.797039999999999509e+02 3.608500000000000227e+02
6.799579999999999700e+02 3.488500000000000227e+02
6.802110000000000127e+02 3.368500000000000227e+02
6.804650000000000318e+02 3.328500000000000227e+02
6.807190000000000509e+02 3.188500000000000227e+02
6.809729999999999563e+02 2.958500000000000227e+02
6.812259999999999991e+02 2.998500000000000227e+02
6.814800000000000182e+02 2.788500000000000227e+02
6.817340000000000373e+02 2.538499999999999943e+02
6.819869999999999663e+02 2.638500000000000227e+02
6.822409999999999854e+02 2.208499999999999943e+02
6.824940000000000282e+02 2.588500000000000227e+02
6.827480000000000473e+02 2.758500000000000227e+02
6.830019999999999527e+02 2.578500000000000227e+02
6.832549999999999955e+02 2.538499999999999943e+02
6.835090000000000146e+02 2.438499999999999943e+02
6.837619999999999436e+02 2.368499999999999943e+02
6.840159999999999627e+02 2.088499999999999943e+02
6.842699999999999818e+02 2.058499999999999943e+02
6.845230000000000246e+02 2.228499999999999943e+02
6.847770000000000437e+02 2.188499999999999943e+02
6.850299999999999727e+02 2.048499999999999943e+02
6.852839999999999918e+02 1.938499999999999943e+02
6.855370000000000346e+02 2.018499999999999943e+02
6.857910000000000537e+02 1.758499999999999943e+02
6.860439999999999827e+02 1.568499999999999943e+02
6.862980000000000018e+02 1.488499999999999943e+02
6.865510000000000446e+02 1.398499999999999943e+02
6.868049999999999500e+02 1.608499999999999943e+02
6.870579999999999927e+02 1.448499999999999943e+02
6.873120000000000118e+02 1.488499999999999943e+02
6.875650000000000546e+02 1.328499999999999943e+02
6.878189999999999600e+02 1.298499999999999943e+02
6.880720000000000027e+02 1.278499999999999943e+02
6.883250000000000455e+02 1.328499999999999943e+02
6.885789999999999509e+02 1.378499999999999943e+02
6.888319999999999936e+02 1.448499999999999943e+02
6.890860000000000127e+02 1.568499999999999943e+02
6.893390000000000555e+02 1.348499999999999943e+02
6.895919999999999845e+02 1.458499999999999943e+02
6.898460000000000036e+02 1.418499999999999943e+02
6.900990000000000464e+02 1.288499999999999943e+02
6.903529999999999518e+02 1.308499999999999943e+02
6.906059999999999945e+02 1.278499999999999943e+02
6.908590000000000373e+02 1.048499999999999943e+02
6.911130000000000564e+02 1.058499999999999943e+02
6.913659999999999854e+02 1.018499999999999943e+02
6.916190000000000282e+02 9.584999999999999432e+01
6.918719999999999573e+02 1.058499999999999943e+02
6.921259999999999764e+02 1.078499999999999943e+02
6.923790000000000191e+02 1.228499999999999943e+02
6.926319999999999482e+02 9.784999999999999432e+01
6.928859999999999673e+02 1.218499999999999943e+02
6.931390000000000100e+02 1.048499999999999943e+02
6.933920000000000528e+02 9.484999999999999432e+01
6.936449999999999818e+02 1.038499999999999943e+02
6.938990000000000009e+02 9.084999999999999432e+01
6.941520000000000437e+02 9.184999999999999432e+01
6.944049999999999727e+02 9.684999999999999432e+01
6.946580000000000155e+02 9.684999999999999432e+01
6.949120000000000346e+02 8.284999999999999432e+01
6.951649999999999636e+02 1.038499999999999943e+02
6.954180000000000064e+02 9.884999999999999432e+01
6.956710000000000491e+02 9.784999999999999432e+01
6.959239999999999782e+02 7.384999999999999432e+01
6.961770000000000209e+02 7.684999999999999432e+01
6.964310000000000400e+02 7.884999999999999432e+01
6.966839999999999691e+02 7.184999999999999432e+01
6.969370000000000118e+02 9.384999999999999432e+01
6.971900000000000546e+02 9.284999999999999432e+01
6.974429999999999836e+02 1.018499999999999943e+02
6.976960000000000264e+02 9.184999999999999432e+01
6.979489999999999554e+02 8.884999999999999432e+01
6.982019999999999982e+02 7.384999999999999432e+01
6.984550000000000409e+02 8.784999999999999432e+01
6.987089999999999463e+02 7.684999999999999432e+01
6.989619999999999891e+02 8.184999999999999432e+01
6.992150000000000318e+02 9.384999999999999432e+01
6.994679999999999609e+02 9.684999999999999432e+01
6.997210000000000036e+02 8.184999999999999432e+01
6.999740000000000464e+02 8.084999999999999432e+01
